用户名,评论日期,评论内容
,,
,,
江**子,2025年2月12日 · F87 乌野橘光-太空金轴,手感相当好，按键工艺很好做的很紧，拆了键帽换了一套更满意了，今天带去公司用了体验很好。还有配套送了拔键器和轴，我是拔完了才发现的哈哈哈。客服很有耐心，有问必答，上一套狼蛛的键盘我就很喜欢，这次买了三模也没有失望
t**0,2025年2月10日 · F87 Pro 时空秘境-灰木轴V4,这款键盘放在购物车很久了，前段时间去弟弟家看到实物，手感声音颜值各方面都很不错，果断买了回来，真的物有所值
y**0,2025年2月4日 · F87 Pro 时空秘境-太空金轴,这次购物体验超棒，商品性价比高，质量优秀。物流高效快捷，商家服务周到，售后完善。 客服荣荣服务态度很好。P键有划痕联系客服补发了，键盘出了外壳不能拆下来其余都很不错
a**7,2024年12月28日 · F87 Pro 月影粉霞-灰木轴V4,别的不说，就冲颜值跟灯效就很值！我不打游戏但是买了就忍不住去敲键盘•̀֊•́✧其他方面不是很懂，玩无限暖暖这个磁轴急停还是很棒的，而且还能z字抖动！后续会考虑再买一个，换个颜色！灯效找客服拿的链接遇到问题很快帮我解决了！美美嘟(៸៸᳐⦁⩊⦁៸៸᳐ )੭
t**5,2025年2月6日 · F87 Pro 紫晶微光-灰木轴V4,刚到手就感受到质量了。手感很好，听着声音大其实是手机录音问题，实际上声音刚刚好，几十种背光效果也符合预期
j**5,2025年2月5日 · F87 Pro 星际迷航-灰木轴V4,第二把了，总体来说手感很不错，我自己买了凯华的冰淇淋轴来更换主要按键。
t**8,2025年2月1日 · F87 Pro 时空秘境-灰木轴V4,个人感觉声音比较大，但是听着挺舒服的，然后手感也不错，灯光也可以自己调
h**e,2025年1月2日 · F87 Pro 星际迷航-灰木轴V4,本来想换个安静点的，但是又懒得退了，先用着吧，挺有分量的，用着目前也没啥问题
n**r,2025年1月26日 · F87 Pro 落日海岸-灵动轴V3,好用，手感很特别，声音好听，办公室打字绰绰有余
t**8,2025年1月8日 · F87 乌野橘光-太空金轴,客服态度很好。原防尘罩因快递原因损坏了，商家直接补发了一个 键盘本身没问题，键程、压感什么的都不错
t**7,2025年1月19日 · F87 Pro 星际迷航-灰木轴V4,整体评价：199价位能买到这个键盘已经很不错了，想要更好的就加价吧。先用一段时间 看看品控怎么样，如果不出问题的话，这个键盘还是物超所值的
黑**平,2025年2月8日 · F87 乌野橘光-太空金轴,用了两天，感觉很不错，颜值很高，按键也舒服。
t**8,2025年2月7日 · F87 Pro 星际迷航-灰木轴V4,按压触感：很像巧克力 产品材质：质感很好手感非常沉重，完全没有塑料的轻感
t**4,2025年2月4日 · F87 Pro 月影粉霞-灰木轴V4,很好看，键盘声音也好听
风**1,2025年1月13日 · F87 Pro 星际迷航-灰木轴V4,功能多，按键很灵活，灵活过头了感觉，外观很不错。
t**2,2025年1月21日 · F87 Pro 落日海岸-灵动轴V3,上面是新键盘，下面是旧键盘，听声音就能听出来，这个声音和手感都很不错
k**i,2025年1月21日 · F87 Pro 星际迷航-灰木轴V4,好看得一批，按键声音也好听👍👍
t**3,2025年1月19日 · F87 Pro 蔚蓝星海-灰木轴V4,此用户没有填写评价。
y**7,2024年12月17日 · F87 Pro 蔚蓝星海-灰木轴V4,键盘声音非常滴nice，脆感十足但不吵，一起住的室友也不会被打扰，推荐一波。
t**3,2025年1月2日 · F87 乌野橘光-太空金轴,整体评价：此次購買的鍵盤令人倍感驚喜。橙白黑的配色極具設計感，簡約而不失雅致，於桌面上自成一景。鍵帽手感細膩，敲擊回饋恰到好處，兼具實用性與舒適性，長時間使用亦不疲憊。 包裝嚴謹，物流迅捷，充分展現商家的專業態度與用心。整體而言，此鍵盤在外觀與功能上皆達到了優秀水準，堪稱精品，誠摯推薦。
t**0,2025年2月12日 · F87 Pro 星际迷航-灰木轴V4,这款键盘非常非常好用！但是办公室用还是有点吵了，家用就非常好！
u**f,2025年2月12日 · F87 Pro 落日海岸-灵动轴V3,还说啥啊，确实不错的东西，家里第二把狼蛛f87pro，我先用了一年，现在又给老婆买了一把，支持好产品
t**7,2025年2月11日 · F87 Pro 星际迷航-灰木轴V4,键盘感觉不错，压力差不多正合适，
恶**猫,2025年1月14日 · F87 Pro 落日海岸-灵动轴V3,很喜欢！对比声音手感之后还是喜欢灵动轴v3闷闷的声音 有一种踏实感
y**g,2025年2月9日 · F87 Pro 白等高线10000mAh-极智轴,"""它承载着银河锻铁匠的淬火意志，每一道弧线都是坍缩星云的记忆重铸，金属表面流淌着超新星爆发时的钛银辉光，精密齿轮啮合声里回响着猎户座悬臂的古老歌谣。"""
t**2,2025年2月7日 · F87 Pro 蔚蓝星海-灰木轴V4,在用了，触发很灵敏，但对我有些过于灵敏了，灯光配置很不错。
t**8,2025年2月5日 · F87 乌野橘光-太空金轴,很好看，用起来也不错，键盘还是选狼蛛这样的大牌子
t**7,2025年2月4日 · F87 Pro 落日海岸-灵动轴V3,手感很好声音也好听
t**7,2024年12月10日 · F87 乌野橘光-太空金轴,"趁着这次活动,这是一款性能出色、外观炫酷的机械键盘,提供舒适的敲击体验,没问题,可以切换无线,按键再也不会卡住了,就真的指打哪打恰到好处,平时喜欢玩动作游,灯真的很炫,今天写了10000字"
t**3,2024年12月31日 · F87 乌野橘光-太空金轴,刚到的时候包装坏了，不过不影响里边，应该是快递小哥送货的时候磕着了。店家售后服务态度很好，推荐购买
t**8,2024年12月22日 · F87 Pro 月影粉霞-灰木轴V4,这次购物体验真的太赞啦～速度超快质量也一级棒 服务态度也超好 很满意 全五分送上！下次有需要还会再来买哒💕
z**6,2024年12月30日 · F87 Pro 星际迷航-灰木轴V4,整体评价：是我喜欢的那种按键手感。 外观体验：嗯嗯，总体还行。 连接速度：连接速度还是非常快的，没有延迟。 按压触感：是我是我喜欢的那种麻将音，不会太吵。
t**9,2025年1月10日 · F87 Pro 月影粉霞-灰木轴V4,真的帅气啊，到手的感觉一级棒，性能怎么还不知道，但是到手的磨砂质感绝了，没买还以为透明的塑料感重，到手后完全没那种感觉
全**维,2025年1月28日 · F87 Pro 月影粉霞-灰木轴V4,超级好用！ 无敌好用！ 200块出头，性价比拉满。我现在打野a野怪，都要猛猛按a键好几下！舒服的没话说！
t**9,2025年1月28日 · F87 Pro 时空秘境-太空金轴,声音很好听！而且比我想象中的声音要小，不用担心会特别吵！非常满意
t**3,2025年1月25日 · F87 Pro 紫晶微光-灰木轴V4,"颜色很高级，按动的麻将音很清脆，整体比想象中的好，就是我这台刚到时""i""和""o""的按键装反了，不过自行拔了键帽之后就好了（esc键换的是键石的键帽）"
t**6,2024年12月19日 · F87 乌野橘光-太空金轴,按压触感：爱了 连接速度：爱了 响应速度：爱了 外观体验：爱了 产品材质：爱了 整体评价：爱了
t**2,2025年1月21日 · F87 Pro 时空秘境-灰木轴V4,灯光巨帅，质感高级，按键声音舒服，线性轴反馈快，颜色高级，总之性价比很高
t**7,2025年1月1日 · F87 Pro 月影粉霞-灰木轴V4,非常好用 颜值很高 声音不聒噪
q**0,2024年12月15日 · F87 Pro 月影粉霞-灰木轴V4,挺好的 快递也没破损 男朋友嘎嘎开心很喜欢
t**6,2025年2月11日 · F87 Pro 星际迷航-灰木轴V4,太好听了这个键盘声😳
z**2,2025年2月10日 · F87 乌野橘光-太空金轴,背面上漆无毛刺平滑上档次
t**3,2025年2月9日 · F87 Pro 星际迷航-灰木轴V4,雀食挺不错的，麻将音敲起来很舒服，弹弹的感觉，配色和字样很协调美观
t**3,2025年2月4日 · F87 Pro 星际迷航-灰木轴V4,声音好听 用着很舒服 颜值也很高
t**7,2025年1月11日 · F87 Pro 星际迷航-灰木轴V4,好看 声音好听
易**2,2025年2月3日 · F87 Pro 白等高线10000mAh-极智轴,麻将音什么的都有，这边轴也没出现什么问题，没有弹簧音之类的，还有这等高线真的漂亮极了，除了客服有点敷衍其它没毛病
q**3,2025年2月2日 · F87 Pro 星际迷航-灰木轴V4,还行吧，不知道是不是我个人的原因，空格键经常误触。
华**8,2024年12月29日 · F87 乌野橘光-太空金轴,很好用 外观体验：好看 连接速度：快 按压触感：触感很好，灵敏
t**1,2024年12月29日 · F87 Pro 时空秘境-灰木轴V4,整体评价：三模挺舒服的 外观体验：颜色可以换，任选，还可以下个软件自己挑色 按压触感：轻软
t**7,2024年12月12日 · F87 Pro 月影粉霞-灰木轴V4,绝了绝了大小跟我心目中的理想！好喜欢啊！颜值也好高，看了那么多家一眼相中这个配色！喜欢！键盘的声音特别舒服
不**我,2024年12月19日 · F87 乌野橘光-太空金轴,刚到手 试着手感还不错 机械键盘太嘈了 这个声音合适 灯光也酷炫
a**y,2025年1月27日 · F87 Pro 时空秘境-太空金轴,**好炫酷，实物比视频里看到的还震撼
t**1,2024年11月26日 · F87 Pro 时空秘境-8000mAh-灰木轴V4,这次购物体验实在是太棒了！从产品质量到服务态度，每一个环节都让我感到非常满意。商品的质量超出了我的预期，使用起来既方便又高效。客服人员的态度更是值得称赞，他们总是耐心解答我的每一个问题，让我感受到了真正的关怀。整个购物流程顺畅无比，没有任何的不便。我会强烈推荐给身边的朋友，并且自己也会再次光顾。这样的购物体验实在是太难得了！
简**n,2024年12月27日 · F87 乌野橘光-太空金轴,手感真的很棒，沉沉的让我觉得好有安全感，客服的服务态度也很好，问问题也很耐心，我用的商务笔记本办公使用，蓝牙模式也没有延时，我很喜欢
t**7,2025年1月7日 · F87 乌野橘光-太空金轴,整体评价：好 外观体验：好 连接速度：快 按压触感：肉，把关键键位换轴好很多 产品材质：物超所值 响应速度：不错 比自己组省事多了，只需要把打游戏的常用轴换一下就好了，其他的配件都配齐了，省了很多事
t**4,2024年12月18日 · F87 Pro 蔚蓝星海-灰木轴V4,键盘触感非常好，连接方式多样，非常方便，声音相当清脆，客服态度很好
l**锋,2025年1月23日 · F87 Pro 时空秘境-太空金轴,手感确实好，但是侧刻品控不行，有些键帽的字体模糊不清，而且侧刻的的字体也小，不开灯你根本不知道按的是什么键位，总之，希望狼蛛越来越好，狼蛛老用户了，还有，能不能做个噬魂冰魄磨具的无线，那个趴握手感真的好，要不是停产我还是喜欢那个
t**7,2025年1月5日 · F87 乌野橘光-太空金轴,不错，第一次买这种键盘，声音很好听，换了个键帽之后太可爱了！
w**园,2024年12月25日 · F87 乌野橘光-太空金轴,第二把狼蛛f87了，手上已有狼蛛f75、迈从k87、迈从g87、skn青龙4.0、skn九凤104，最后发现这个狼蛛f87的套件比较软弹，换上喵呜轴打字的话，堪称完美！本人不玩游戏、对声音无感，只办公，一点感受，与有缘人分享！
t**1,2024年12月16日 · F87 Pro 时空秘境-太空金轴,朋友用过所以推荐我买这个，很喜欢哈😋😋😋，响应速度也可以，拿着有一点重喜欢呀😋
t**1,2024年12月16日 · F87 Pro 星际迷航-灰木轴V4,挺好的，就是有个问题啊，你***这里的按键本来就是空的???，不是，我最近怎么一直倒霉，靠了
t**1,2025年1月18日 · F87 Pro 时空秘境-灰木轴V4,可以可以键盘声音很好
可**兔,2025年1月16日 · F87 Pro 月影粉霞-灰木轴V4,手感超级无敌棒，不过刚换的侧显打数字还不适应，最近上班的新动力，好看～
y**8,2024年11月26日 · F87 Pro 紫晶微光-灰木轴V4,这款机械键盘采用了RGB背光设计，每个按键都有独立的灯光效果，色彩丰富且均匀。键帽材质手感舒适，整体布局合理，功能键齐全，适合游戏和办公使用。键盘底部有防滑脚垫，稳定性好。总体来说，这是一款性能出色、外观炫酷的机械键盘。
q**5,2025年2月13日 · F87 Pro 时空秘境-灰木轴V4,非常非常酷炫，手感很好👌🏻
t**4,2025年2月12日 · F87 Pro 时空秘境-太空金轴,键盘颜值非常好
t**4,2025年2月11日 · F87 Pro 时空秘境-太空金轴,很漂亮，手感也不错
t**5,2025年1月11日 · F87 Pro 月影粉霞-灰木轴V4,物超所值，话不多说，这4个字已经说明了一切
天**萌,2025年2月8日 · F87 乌野橘光-太空金轴,挺好的，声音也不错
t**0,2025年2月8日 · F87 Pro 星际迷航-灰木轴V4,声音很好听，手感非常好，特别赞。牛*
s**6,2025年2月5日 · F87 Pro 时空秘境-太空金轴,很不错，按键音很喜欢
t**8,2024年12月5日 · F87 Pro 时空秘境-灰木轴V4,整体评价：2.5/5分 总结一下，狼蛛的物流和售后是一流的，质量限于价钱我觉得不能太强求，但至少品控应该做好，不能只用批次两个字敷衍 买179价位的就行了，除非你对续航要求很高。 外观体验：外观很好看，rgb很帅，这点完美 连接速度：很快，没有问题 按压触感：宣传是卫星轴，但是我的这把轴润做的很差，感觉的到按压力度要比参数高一点，而且不够丝滑，安静的时候仔细一点听还能听到摩擦声，很不舒服的 方向键某些键不知道为什么声音一个清脆一个沉闷，我也不理解怎么搞的
t**7,2024年12月28日 · F87 Pro 时空秘境-灰木轴V4,整体评价：好 外观体验：好看 连接速度：快 按压触感：可 产品材质：行 响应速度：快
t**7,2025年2月3日 · F87 Pro 时空秘境-灰木轴V4,感觉挺不错，似乎有点笨重，但知足了，还是性价比很高
狸**3,2025年2月2日 · F87 Pro 月影粉霞-灰木轴V4,很喜欢，男朋友送的生日礼物拿来打瓦够够哒，之后再换个磁轴的
一**6,2024年12月17日 · F87 Pro 时空秘境-太空金轴,买了个键盘觉得好用，又买了个鼠标，效果很好。
t**8,2024年12月17日 · F87 乌野橘光-太空金轴,感觉还不错，轴的声音比较大，但是打游戏感觉挺爽的，150的价格买到非常不错的体验，非常值！
t**2,2025年1月7日 · F87 Pro 时空秘境-太空金轴,按压触感：比较清脆 响应速度：很快
t**0,2025年1月26日 · F87 Pro 时空秘境-太空金轴,键盘很不错，手感也很好，但是我硕士化，冬天笔记本用户真没必要用外置键盘，毕竟自带的键盘还能暖手QwQ
x**n,2025年1月4日 · F87 乌野橘光-太空金轴,真的不错，非常喜欢，敲击的感觉不错，质感也不错
c**r,2025年1月22日 · F87 Pro 落日海岸-灵动轴V3,非常滿意這個鍵盤，打字聲音非常的好聽！什麼都齊了，都不用調適了發貨很快，包裝得很仔細
t**春,2025年1月3日 · F87 Pro 时空秘境-灰木轴V4,还不错，男朋友很喜欢，质感好，三模连接也不错。
v**3,2024年12月14日 · F87 Pro 月影粉霞-灰木轴V4,新手小白抱着试一试的态度买的，打游戏手感非常好，声音类似麻将音，听着很舒服，不会产生噪音，颜值很高！
t**1,2024年12月14日 · F87 Pro 星际迷航-灰木轴V4,整体评价：好看好用 连接速度：用的蓝牙连的感觉没什么延迟 按压触感：声音听起来很舒服 产品材质：上个键盘就是觉得材质不好退了这个还行 电也很足
t**0,2024年12月14日 · F87 乌野橘光-太空金轴,键盘打字很舒服，手感很好这个价格很值了。
l**g,2024年12月7日 · F87 乌野橘光-太空金轴,响应速度：灵敏度很不错 手感很棒👍🏻
t**5,2024年12月1日 · F87 Pro 星际迷航-灰木轴V4,此用户没有填写评价。
t**4,2024年11月17日 · F87 Pro 紫晶微光-8000mAh-灰木轴V4,整体评价：键盘性能出色，设计优秀 外观体验：配备了RGB灯效，可以根据自己的喜好进行设置 连接速度：键盘支持有线、2.4G无线和蓝牙三种模式 按压触感：键盘内部填充有ixpe轴下垫、Poron棉、开模硅胶底垫和消音底棉等，提供舒适的敲击体验
t**8,2025年1月17日 · F87 乌野橘光-太空金轴,非常不错的键盘。
j**e,2024年12月21日 · F87 Pro 星际迷航-灰木轴V4,不得不说，狼蛛的键盘质感真的好！鼠标也很轻盈，很喜欢！
t**9,2024年12月21日 · F87 Pro 星际迷航-灰木轴V4,很好用，用的手感很舒服，打游戏，打字都很方便
t**9,2024年12月21日 · F87 Pro 时空秘境-太空金轴,质量特别好，连接速度快，并且非常稳定。键帽的材质比较好。非常适合入手。便宜又好用，简直就是一举两得。推荐大家用，好吧。这是真心话呀。我都选了好久才选这一款。
t**e,2024年11月16日 · F87 Pro 落日海岸-灵动轴V3,第一次用机械键盘，取快递拿手里不敢信一个小键盘这么沉，打开试了一下手感很好，特意选了静音轴，家里用蛮合适的，打了两把就过了10层大米开门，立马来评价，太棒了，按键再也不会卡住了，灯光很多模式，虽然我用不着，如果键盘字也能透光就更好了。
奥**盘,2024年11月20日 · F87 Pro 蔚蓝星海-8000mAh-灰木轴V4,整体评价：可以 外观体验：还是挺好看的 还不错，唯一不好的地方就是怀疑是别人退货的，刚打开在回车缝隙那发现有头发😅
有**1,2025年1月13日 · F87 Pro 时空秘境-太空金轴,目前用下来没什么问题，符合挑键盘时的一些要求，物流也挺快的，手感和声音都符合预期，就是换键帽的时候会很容易连带轴体一起拔出来，按键是否延迟不明显，后续有问题再进行反馈
t**9,2024年11月19日 · F87 Pro 时空秘境-8000mAh-灰木轴V4,qu物流速度很快！平时喜欢玩动作游🗾戏却没未断触也没有误触的情况！🍌现在刚上手不久，第一次用机械键🍈盘，品控严格一下就好了，无论是🏡放在办公室还是家中书房，不易留🌋汗渍，每一次敲击都能感受到恰到📌好处的反馈力度🧩
t**5,2024年12月4日 · F87 Pro 星际迷航-灰木轴V4,海外新加坡买家。 非常快收到。 货品完好。 这点非常满意！ 只是没有放安全保护， 直接就寄了。路上如有重物压上去就麻烦了。
半**瑟,2024年11月23日 · F87 Pro 黑黄等高线-8000mAh-抹茶拿铁轴,双十一期间犹豫了好久不知道该买哪家的键盘，最后还是选了狼蛛，就看中他家的品控和售后，而且同一价位狼蛛的延迟要低一些，这款键盘颜值相当高，重量也足，可以说是实实在在用量，键盘手感很棒，声音清脆圆润饱满，无愧卷王键盘！
t**2,2024年12月10日 · F87 Pro 月影粉霞-灰木轴V4,我超级无敌喜欢 为了这个能连接音乐购买的键盘也好舒服 客服都很好！！！推荐购买！
火**j,2025年2月12日 · F87 乌野橘光-太空金轴,质量好，手感好
f**3,2025年2月11日 · F87 Pro 蔚蓝星海-灰木轴V4,送给别人的，没打开看，包装方正没破损，挺好的
—**。,2025年2月10日 · F87 Pro 月影粉霞-灰木轴V4,黑粉色太爱了，键盘敲击声音动听，阻尼适合。
t**4,2025年2月9日 · F87 Pro 紫晶微光-灰木轴V4,手感很好，按键声音也很好听，用来打游戏或者办公都很舒服啊
珂**迪,2024年12月2日 · F87 Pro 蔚蓝星海-灰木轴V4,嘎嘎好用，声音很奈斯，灰木轴听着很不错，外观也很漂亮，电池也耐用的，刚拿到手用了一个小时电量还是百分百，没让我失望。
7**s,2025年1月8日 · F87 Pro 月影粉霞-灰木轴V4,非常美丽
k**g,2024年11月13日 · F87 乌野橘光-太空金轴,整体评价：外观、手感、功能都在线，性价比极高，客服态度极好 外观体验：挺好看的，比图片上看上去要厚重一点 连接速度：2.4G 按压触感：太空金这个轴体手感轻，微涩、回弹偏软，打字手负担比较轻
t**5,2024年11月26日 · F87 Pro 蔚蓝星海-灰木轴V4,很奶很喜欢呀喵，发货到货也特别快！一直看没人买这个颜色一直担心没符合自己预期，怕是荧光蓝之类的，最后结果颜色就是奶蓝的很喜欢！轴体声音也很好听，喜欢的快冲！
t**6,2024年12月25日 · F87 Pro 时空秘境-灰木轴V4,键盘质量很好，特别漂亮！
a**1,2025年1月6日 · F87 乌野橘光-太空金轴,说真的键盘还是蛮漂亮的，我是打游戏玩的，主打绝地求生，感觉还是不错，就是有时会跑偏，自己乱跑，以前的键盘都没有这样的事情，郁闷。
嘀**d,2024年11月25日 · F87 Pro 时空秘境-太空金轴,现在的键盘产品比前几年强太多了，21年300多的机械键盘做工没有这个好。我之前的键盘是红轴的，用习惯了，这个轴比红轴稍微重一些。
t**9,2024年11月25日 · F87 Pro 星际迷航-灰木轴V4,入冬了，也是换了第一把键盘，爽，实物比我想象的要沉重，按键很舒服，太帅了，今晚放被窝里面睡觉，咋只能分享五张图片啊
t**6,2024年11月30日 · F87 Pro 蔚蓝星海-灰木轴V4,此用户没有填写评价。
t**4,2024年11月30日 · F87 Pro 紫晶微光-灰木轴V4,整体评价：个人感觉特别好，比普通的键盘和客制化键盘好用，键帽也比较好，侧刻的好看也好用，灯效也有十多种，不愁换的，最后那个音乐灯效还没试过，键盘不是越贵越好，是越好看且便宜越好😉
懂**茫,2024年12月6日 · F87 Pro 时空秘境-8000mAh-灰木轴V4,非常不错的，轴体轻盈声小，适合码代码 整体评价：好
t**2,2024年12月13日 · F87 乌野橘光-太空金轴,配色非常帅，整体使用感觉也很好，感觉我的笔记本有些配不上这个键盘了
小**爷,2025年1月23日 · F87 Pro 月影粉霞-灰木轴V4,不错 麻将音 就是一直是用全键的 这次换87建的 输数字不是很习惯 还有就是 不插电 灯光一分钟就灭了，可以设置时间就好了
z**1,2024年11月29日 · F87 Pro 蔚蓝星海-8000mAh-灰木轴V4,好东西，键盘等效手感都很不错，蓝牙模式很方便
自**哥,2025年1月21日 · F87 Pro 蔚蓝星海-灰木轴V4,键盘好看，做工精致，很喜欢！希望能用的久！！
周**1,2024年12月21日 · F87 Pro 时空秘境-灰木轴V4,送给男朋友的 他很喜欢
黯**神,2024年11月23日 · F87 Pro 星际迷航-灰木轴V4,整体评价：不错 外观体验：美观 连接速度：正常 按压触感：舒适 产品材质：正常 响应速度：正常
t**0,2024年11月18日 · F87 Pro 星际迷航-灰木轴V4,给朋友作为生日礼物的，物流也很快体验很好，手感舒服，回弹效果舒适，性价比和手感值得五星，就是套餐里说的赠送的备用轴体没有找到，希望能补发下😁😁
t**8,2024年12月4日 · F87 Pro 星际迷航-灰木轴V4,包装很好 拿到手里没有破损 盒子是完好的 键盘的手感也很好很好看暂时没有任何问题 蓝牙连接也没有什么延迟 很好
w**i,2024年12月19日 · F87 Pro 月影粉霞-灰木轴V4,挺好看的，手感也很好，敲键盘的声音很解压
t**9,2024年12月30日 · F87 Pro 时空秘境-太空金轴,给孩子买的，孩子很喜欢，说要好好学习考100分，我这当父亲的第一次听孩子要好好学习，开心坏了
j**3,2024年12月10日 · F87 乌野橘光-太空金轴,性价比还可以 敲字声音也不算大
b**h,2025年1月15日 · F87 Pro 月影粉霞-灰木轴V4,实用性和颜值都非常的赞，我很喜欢，还会再来买的
t**0,2024年12月18日 · F87 Pro 紫晶微光-灰木轴V4,此用户没有填写评价。
w**z,2024年12月2日 · F87 乌野橘光-太空金轴,按压触感：按压连续，声音相对较大 整体评价：键盘制作很精良，用起来感觉十分顺手 外观体验：外观很上眼，配色也好看
t**3,2024年11月16日 · F87 Pro 紫晶微光-8000mAh-灰木轴V4,紫色简直不要太酷，客服态度也很好，质感一绝，太喜欢了，闭眼入紫色准没错
t**3,2025年1月13日 · F87 Pro 紫晶微光-灰木轴V4,无需多言的美丽
董**曌,2025年1月12日 · F87 Pro 星际迷航-灰木轴V4,真的不错声音也好听
g**宇,2024年12月8日 · F87 乌野橘光-太空金轴,整体评价：这个手感配这个价位物超所值，打工牛马值得拥有，已经安利好几位同事一起入手了
小**5,2024年12月27日 · F87 Pro 星际迷航-灰木轴V4,不错，不错，手感很好外观简单漂亮😻
t**3,2024年11月25日 · F87 乌野橘光-太空金轴,太帅气了好吧，第一款机械键盘，这质感，只要是性价比高啊，有点小激动了
x**8,2025年1月11日 · F87 Pro 星际迷航-灰木轴V4,右边数字键没有，不是财务人员，可以接受。先熟悉下，按键声音可以的，。
野**腔,2024年11月19日 · F87 Pro 紫晶微光-8000mAh-灰木轴V4,颜色好看，做工精细，按键手感非常棒，敲击的声音尤其好听，推荐推荐。
刘**5,2024年11月24日 · F87 Pro 星际迷航-灰木轴V4,整体评价：非常好 外观体验：手感很棒 连接速度：很快 按压触感：棒 产品材质：好 响应速度：很快
江**吟,2024年12月25日 · F87 Pro 月影粉霞-灰木轴V4,颜值在线，和我的粉色桌布很搭～买来打游戏同时做一些文书工作，手感可以，声音也没有很吵，是不错的键盘，有这方面需求的可以考虑一下
t**2,2024年11月14日 · F87 乌野橘光-太空金轴,刚打开键帽就掉下来了，但是坏的这个键帽是不常用的，品控严格一下就好了 物流速度很快
t**5,2025年2月12日 · F87 Pro 星际迷航-灰木轴V4,送男朋友的，他说帅爆了
l**a,2025年2月11日 · F87 Pro 月影粉霞-灰木轴V4,手感特别好，按键音也很喜欢，超级漂亮。
t**5,2025年2月7日 · F87 Pro 星际迷航-灰木轴V4,感觉不赖，手感不错
夜**帅,2025年2月5日 · F87 Pro 时空秘境-太空金轴,蛮不错
t**0,2025年2月4日 · F87 Pro 月影粉霞-灰木轴V4,非常好看，刚买，没有任何问题
h**r,2025年2月3日 · F87 Pro 星际迷航-灰木轴V4,试了试按键没问题，手感相当不错
t**8,2025年2月2日 · F87 Pro 时空秘境-太空金轴,手感特别好
丶**丶,2024年11月28日 · F87 Pro 紫晶微光-灰木轴V4,整体评价：达到了预期 外观体验：很不错的 连接速度：还行 按压触感：麻将音，想要清脆感觉的，没达到预期 产品材质：很沉重 响应速度：OK
t**0,2025年2月1日 · F87 Pro 星际迷航-灰木轴V4,顺丰发货，键盘很厚实，东西很好
j**6,2025年1月5日 · F87 Pro 星际迷航-灰木轴V4,不错。从外观，质感，在加上轴的声音，我都很喜欢。灯光也很多种，我很喜欢
雨**9,2025年1月28日 · F87 乌野橘光-太空金轴,不错的键盘，大小合适，按键灵敏，好评
,,
t**8,2024年12月21日 · F87 乌野橘光-太空金轴,键盘拿到手时，三模按钮是在2.4g那里，一般是在有线那里的吧，感觉像是二次销售的；然后就是键帽有几个有瑕疵，联系客服换了，客服不错；键盘整体感觉还行，手感还行。
t**8,2025年1月3日 · F87 Pro 月影粉霞-灰木轴V4,按压触感：麻将声音不错 键盘帅气，性价比不错
t**3,2025年1月3日 · F87 Pro 星际迷航-灰木轴V4,此用户没有填写评价。
t**3,2024年11月21日 · F87 Pro 月影粉霞-8000mAh-灰木轴V4,手感很不错，响应速度很快，能在驱动里调灯光，自己喜欢怎么调就怎么调，挺方便的
生**t,2025年1月26日 · F87 Pro 紫晶微光-灰木轴V4,体验起来还不错 灯光也很好看
少**候,2024年12月3日 · F87 Pro 时空秘境-太空金轴,比几十的键盘好多了！很满意！
y**0,2024年12月3日 · F87 Pro 时空秘境-灰木轴V4,整体评价：好 外观体验：好看 连接速度：快 产品材质：可以 按压触感：好
t**6,2024年11月16日 · F87 Pro 时空秘境-太空金轴,这款键盘关注挺久了，很多朋友都入手了，而且颜值和性价比都很高，手感和声音都不错，有需要的可以入手。
t**1,2024年12月20日 · F87 Pro 月影粉霞-灰木轴V4,这可太好了，没得讲，东西特别好。
