用户名,评论信息,评论内容
t**4,2025年3月21日 · F87 乌野橘光-太空金轴,手感挺不错的音效什么的都很好值得入手
t**8,2025年3月21日 · F87 Pro 蔚蓝星海-灰木轴V4,不错不错，国补后只需211入手，虽然dy前段时间199，但也还不错了
李**y,2025年3月20日 · F87 Pro 时空秘境-灰木轴V4,按键较软，打游戏需要时间适应，打字很舒适，麻将音。键盘比较厚，女生最好是配一个腕托，要不用久了可能腱鞘炎。
t**6,2025年3月20日 · F87 Pro 月影粉霞-灰木轴V4,响度OK的，就是有时候会不灵敏，光的话……emmm，想要更多好看点的，外表很好看
j**5,2025年2月5日 · F87 Pro 星际迷航-灰木轴V4,第二把了，总体来说手感很不错，我自己买了凯华的冰淇淋轴来更换主要按键。
t**5,2025年3月19日 · F87 Pro 月影粉霞10000mAh-极智轴,手感很nice 目前折扣，还是比较值得入手的
9**t,2025年2月20日 · F87 Pro 时空秘境-灰木轴V4,非常满意，性价比高，分量很重，用料扎实！
t**9,2025年3月18日 · F87 Pro 时空秘境-灰木轴V4,不错 挺骚的 手感还可以 要是键帽有原配雾透侧刻就更好了
t**0,2025年3月17日 · F87 Pro 白等高线10000mAh-极智轴,手感挺好，看着挺舒服，灯光氛围很足
z**0,2025年2月27日 · F87 Pro 月影粉霞-灰木轴V4,颜值使用这方面还是可以的，手感不错
许**y,2025年2月27日 · F87 Pro 星际迷航-灰木轴V4,很帅的键盘 实用性很强
t**9,2025年3月13日 · F87 Pro 紫晶微光-灰木轴V4,手感还不错，最喜欢点亮的灯效，很帅！
大**产,2025年3月13日 · F87 Pro 落日海岸-灵动轴V3,颜色好看，输入也很有感觉。刚玩机械键盘算是很不错的入门款吧
c**9,2025年3月13日 · F87 乌野橘光-太空金轴,手感很好，很满意
t**3,2025年3月12日 · F87 乌野橘光-太空金轴,键盘很好用 自带键帽也很舒服 客服很好 还可以补键帽
d**1,2025年4月12日 · F87 Pro 时空秘境-灰木轴V4,键盘的灯光挺好看的，键盘声音也挺小的不会影响休息
黑**平,2025年2月8日 · F87 乌野橘光-太空金轴,用了两天，感觉很不错，颜值很高，按键也舒服。
t**8,2025年2月1日 · F87 Pro 时空秘境-灰木轴V4,个人感觉声音比较大，但是听着挺舒服的，然后手感也不错，灯光也可以自己调
杰**7,2025年2月15日 · F87 Pro 月影粉霞-灰木轴V4,整体评价：外观很好看，高端霸气上档次，按键声音也很舒服， 连接速度：不管是2.4G，蓝牙还是有限链接速度都很快，随意切换毫秒即连，也送了轴体键和热插拔工具。 产品材质：整重还是蛮重的，而且支架也做到了分体两段支撑，可以很好的调节属于自己的手掌姿势 响应速度：很快
t**8,2025年2月7日 · F87 Pro 星际迷航-灰木轴V4,按压触感：很像巧克力 产品材质：质感很好手感非常沉重，完全没有塑料的轻感
学**m,2025年2月24日 · F87 Pro 月影粉霞-灰木轴V4,好漂亮——！手感也很好，第一次买机械键盘！
t**9,2025年3月9日 · F87 Pro 时空秘境-太空金轴,手感非常得好
t**4,2025年3月9日 · F87 Pro 星际迷航-灰木轴V4,还不错，挺好用的，颜值也好看
良**一,2025年3月9日 · F87 Pro 时空秘境-太空金轴,第二次，购买了，用起来很舒服，很好太空金轴声音很好听，打游戏按起来不累手，按键回弹效果很好
t**7,2025年3月8日 · F87 Pro 星际迷航-灰木轴V4,发货很快，一天就到了，但孩子们，出暴击了⊙ω⊙
朽**二,2025年3月31日 · F87 乌野橘光-太空金轴,颜值高，手感很棒
起**秒,2025年2月23日 · F87 Pro 落日海岸-灵动轴V3,很好用，第二次回购了，声音好听运行无问题👍
t**9,2025年3月30日 · F87 Pro 月影粉霞-灰木轴V4,很有分量 手感也可以 推荐👍
t**2,2025年3月29日 · F87 乌野橘光-太空金轴,非常好用的键盘，自己重新换了键帽，很喜欢
t**6,2025年3月6日 · F87 Pro 蔚蓝星海-灰木轴V4,颜色很漂亮轴音也不错，外观也很好看，很满意。
t**3,2025年3月26日 · F87 Pro 时空秘境-灰木轴V4,声音和手感都很舒服
t**0,2025年2月12日 · F87 Pro 星际迷航-灰木轴V4,这款键盘非常非常好用！但是办公室用还是有点吵了，家用就非常好！
u**f,2025年2月12日 · F87 Pro 落日海岸-灵动轴V3,还说啥啊，确实不错的东西，家里第二把狼蛛f87pro，我先用了一年，现在又给老婆买了一把，支持好产品
杨**8,2025年3月25日 · F87 乌野橘光-太空金轴,此用户没有填写评价。
t**7,2025年3月25日 · F87 Pro 时空秘境-太空金轴,"手感very nice,这钱花值了"
t**2,2025年3月24日 · F87 Pro 时空秘境-灰木轴V4,商品挺好，客服也很负责，服务态度可以
l**n,2025年3月24日 · F87 Pro 时空秘境-太空金轴,总体来说不错，但还是希望能多用点时间，机械键盘单键失效和串键碰到好几个了，既有各种国产键盘，也有像樱桃这样的上千元的大牌
夏**5,2025年3月24日 · F87 Pro 时空秘境-太空金轴,灰色渐变色挺好看，还不错
t**4,2025年2月4日 · F87 Pro 月影粉霞-灰木轴V4,很好看，键盘声音也好听
t**4,2025年3月4日 · F87 Pro 时空秘境-太空金轴,好爽好帅好炫酷😃手感很好，键盘对女生来说有点沉了，声音不小但是好听(？预算不多可以冲这款👍
c**p,2025年3月23日 · F87 Pro 蔚蓝星海-灰木轴V4,直接买就行了，键盘真的不错。服务也很好，客服也很好。
t**7,2025年2月11日 · F87 Pro 星际迷航-灰木轴V4,键盘感觉不错，压力差不多正合适，
龙**y,2025年3月20日 · F87 Pro 时空秘境-灰木轴V4,键盘声音轻，按键舒服
t**0,2025年3月2日 · F87 乌野橘光-太空金轴,非常好用，灯光也好看，手感真的不错。
小**活,2025年3月1日 · F87 Pro 月影粉霞-灰木轴V4,挺好的解答很快
y**g,2025年2月9日 · F87 Pro 白等高线10000mAh-极智轴,"""它承载着银河锻铁匠的淬火意志，每一道弧线都是坍缩星云的记忆重铸，金属表面流淌着超新星爆发时的钛银辉光，精密齿轮啮合声里回响着猎户座悬臂的古老歌谣。"""
t**9,2025年3月18日 · F87 Pro 月影粉霞-灰木轴V4,此用户没有填写评价。
声**3,2025年2月17日 · F87 乌野橘光-太空金轴,我对这个产品的质量和手感都非常满意，卖家的服务也非常好，下次还会再来购买。
杨**6,2025年2月28日 · F87 Pro 时空秘境-太空金轴,无敌神中神，颜值与实力并存，声音巨好听
n**r,2025年1月26日 · F87 Pro 落日海岸-灵动轴V3,好用，手感很特别，声音好听，办公室打字绰绰有余
t**3,2025年2月27日 · F87 Pro 月影粉霞10000mAh-极智轴,客服态度很好 键盘颜值也好
t**8,2025年2月27日 · F87 Pro 时空秘境-灰木轴V4,键盘的灵敏度跟手感都很不错，值得购买
t**3,2025年3月14日 · F87 Pro 蔚蓝星海-灰木轴V4,很好，第一买键盘感觉很好
t**6,2025年3月14日 · F87 Pro 时空秘境-太空金轴,手感超好，女朋友送的，特别好用
t**2,2025年2月7日 · F87 Pro 蔚蓝星海-灰木轴V4,在用了，触发很灵敏，但对我有些过于灵敏了，灯光配置很不错。
t**1,2025年2月26日 · F87 Pro 时空秘境-灰木轴V4,**手感是真的好，漂亮！ 太喜欢了
乐**8,2025年3月13日 · F87 乌野橘光-太空金轴,不错的的一次购物，物有所值。
t**4,2025年2月25日 · F87 Pro 白等高线10000mAh-极智轴,手感清脆，麻将音特别好听，键盘跟手
j**8,2025年2月25日 · F87 Pro 时空秘境-太空金轴,送你男朋友的情人节礼物，他超喜欢，灯光设置很丰富，玩的不亦乐乎，按键声音反馈也不错，很舒服，总之超满意
t**4,2025年3月11日 · F87 Pro 时空秘境-灰木轴V4,男朋友很喜欢🌚
t**8,2025年2月5日 · F87 乌野橘光-太空金轴,很好看，用起来也不错，键盘还是选狼蛛这样的大牌子
t**6,2025年4月14日 · F87 Pro 紫晶微光-灰木轴V4,首发买的f87用到现在的pro真挺不错的
t**4,2025年2月23日 · F87 Pro 月影粉霞10000mAh-极智轴,手感一流很帅没得说 太赞了给跨屎也买了一个两人偷偷用情侣款🤓🤓🤓
x**4,2025年2月23日 · F87 Pro 月影粉霞-灰木轴V4,用着还可以中规中矩，轴体的声音好听
e**2,2025年2月23日 · F87 Pro 时空秘境-灰木轴V4,不錯，個人感受手感&質素大&打感很棒，是我要的
q**5,2025年3月9日 · F87 乌野橘光-太空金轴,用了几天了，手感还不错，这个价位总体上物有所值，就是不知道质量怎么样。 给个全五星好评，有问题了再来追评。
高**士,2025年4月9日 · F87 乌野橘光-太空金轴,还不错，暂时没啥问题。
t**7,2025年2月4日 · F87 Pro 落日海岸-灵动轴V3,手感很好声音也好听
t**4,2025年3月8日 · F87 Pro 星际迷航-灰木轴V4,非常好，手感也很好
糖**i,2025年4月4日 · F87 Pro 紫晶微光-灰木轴V4,做了功课给对象买的，他挺喜欢的，按下去触发很快，可以买渐变鼠标垫配一套很搭。
t**3,2025年4月4日 · F87 乌野橘光-太空金轴,键盘好用，客服的售后服务也很好
t**6,2025年2月11日 · F87 Pro 星际迷航-灰木轴V4,太好听了这个键盘声😳
t**6,2025年4月1日 · F87 Pro 落日海岸-灵动轴V3,第一次买键盘 配色清新 手感好
t**1,2025年3月31日 · F87 Pro 星际迷航-灰木轴V4,太帅了，声音很脆，反应挺快的
t**2,2025年3月6日 · F87 Pro 时空秘境-太空金轴,客服很好，发货也很快，客服好
y**q,2025年3月6日 · F87 Pro 紫晶微光-灰木轴V4,非常不错，麻将音，手感也好
c**p,2025年3月29日 · F87 Pro 蔚蓝星海-灰木轴V4,键盘好，客服服务好。闭眼入
z**2,2025年2月10日 · F87 乌野橘光-太空金轴,背面上漆无毛刺平滑上档次
t**4,2025年3月27日 · F87 乌野橘光-太空金轴,此用户没有填写评价。
t**9,2025年2月19日 · F87 Pro 时空秘境-太空金轴,键盘很好用 就是收到货了，不知道为什么少了q和-两个键帽。不过客服很给力，及时补发了缺失的键帽
霁**代,2025年3月4日 · F87 Pro 月影粉霞-灰木轴V4,黑粉配色非常好看！！特别喜欢
赵**圈,2025年3月4日 · F87 Pro 月影粉霞10000mAh-极智轴,只能说很好看，声音也好，女孩子用嘎嘎好
安**7,2025年3月26日 · F87 Pro 紫晶微光-灰木轴V4,妹妹说紫色很有韵味
t**3,2025年2月9日 · F87 Pro 星际迷航-灰木轴V4,雀食挺不错的，麻将音敲起来很舒服，弹弹的感觉，配色和字样很协调美观
忘**9,2025年3月3日 · F87 Pro 白等高线10000mAh-极智轴,键盘很好，灯光效果好，性价比很高，很愉快的一次购物，全5星好评
b**9,2025年2月18日 · F87 Pro 月影粉霞-灰木轴V4,颜色很美，这个轴对于经常码字的人来说应该挺舒服的，喜欢有回弹手感的话，可能要自己换个轴，总体来说我很喜欢
t**3,2025年3月24日 · F87 Pro 时空秘境-太空金轴,手感挺好，跟图上描述的一样，玩游戏还可以
t**5,2025年3月24日 · F87 Pro 时空秘境-太空金轴,不错 我手劲小 按起来不费劲刚刚好 声音也不错 挺好的
t**1,2025年3月2日 · F87 Pro 月影粉霞-灰木轴V4,米米嘟，手感很好，灰木轴敲起来很好听，玩游戏很好用
陆**x,2025年3月2日 · F87 Pro 时空秘境-灰木轴V4,要是键帽的材质好点就好了
t**7,2025年3月22日 · F87 Pro 时空秘境-太空金轴,很早就听过f87pro了 现在总算拿下 手感很好
j**g,2025年3月22日 · F87 Pro 时空秘境-太空金轴,键盘手感很好，用来吃鸡的
t**7,2025年1月19日 · F87 Pro 星际迷航-灰木轴V4,整体评价：199价位能买到这个键盘已经很不错了，想要更好的就加价吧。先用一段时间 看看品控怎么样，如果不出问题的话，这个键盘还是物超所值的
t**7,2025年3月19日 · F87 Pro 月影粉霞-灰木轴V4,颜值很好，性价比高，
清**虑,2025年3月19日 · F87 Pro 蔚蓝星海-灰木轴V4,在这个价位，这样的做工和功能就是无敌的。
1**q,2025年2月15日 · F87 Pro 时空秘境-太空金轴,不错，质感很棒
t**1,2025年3月17日 · F87 Pro 时空秘境-灰木轴V4,超级帅手感也很好
是**啊,2025年3月16日 · F87 Pro 落日海岸-灵动轴V3,很不错，出乎意料的好用，至于续航还要等我用过再说
t**1,2025年2月14日 · F87 乌野橘光-太空金轴,目前看来质量很好，太空金轴打起来虽然误触的几率大一些但是声音很好听，也没什么断触啊，延迟高之类的问题，总而言之性价比很高！相信就好啦！
m**i,2025年3月15日 · F87 Pro 星际迷航-灰木轴V4,东西质量还可以，快递速度也很给力
t**7,2025年2月25日 · F87 Pro 星际迷航-灰木轴V4,以前没买过键盘入手了第一个键盘用起来目前可以
t**9,2025年3月14日 · F87 Pro 星际迷航-灰木轴V4,还是不错的，就是个人感觉空格太松了容易误触
t**9,2025年1月28日 · F87 Pro 时空秘境-太空金轴,声音很好听！而且比我想象中的声音要小，不用担心会特别吵！非常满意
全**维,2025年1月28日 · F87 Pro 月影粉霞-灰木轴V4,超级好用！ 无敌好用！ 200块出头，性价比拉满。我现在打野a野怪，都要猛猛按a键好几下！舒服的没话说！
q**5,2025年2月13日 · F87 Pro 时空秘境-灰木轴V4,非常非常酷炫，手感很好👌🏻
t**3,2025年2月4日 · F87 Pro 星际迷航-灰木轴V4,声音好听 用着很舒服 颜值也很高
t**3,2025年3月13日 · F87 Pro 月影粉霞10000mAh-极智轴,送人，好看，声音好听
t**3,2025年3月13日 · F87 Pro 月影粉霞10000mAh-极智轴,键盘比较重，按键的声音也很好听
晚**7,2025年2月24日 · F87 Pro 星际迷航-灰木轴V4,帅就一个字 只说一次 外设到了等电脑了
t**8,2025年3月12日 · F87 Pro 时空秘境-太空金轴,手感很棒，外观设计都很喜欢
t**4,2025年2月12日 · F87 Pro 时空秘境-太空金轴,键盘颜值非常好
t**2,2025年1月21日 · F87 Pro 落日海岸-灵动轴V3,上面是新键盘，下面是旧键盘，听声音就能听出来，这个声音和手感都很不错
k**i,2025年1月21日 · F87 Pro 星际迷航-灰木轴V4,好看得一批，按键声音也好听👍👍
